Time [s],CAN_RX_ECU,CAN_RX_LSM,CAN_TX_ECU,CAN_TX_LSM
0.001296398,1,1,1,1
0.090321140,0,1,1,1
0.090321648,1,1,1,1
0.090322134,0,1,1,1
0.090322648,1,1,1,1
0.090323134,0,1,1,1
0.090323648,1,1,1,1
0.090324134,0,1,1,1
0.090324648,1,1,1,1
0.090325134,0,1,1,1
0.090325648,1,1,1,1
0.090326136,0,1,1,1
0.090326648,1,1,1,1
0.090327134,0,1,1,1
0.090327982,0,1,1,0
0.090328082,0,0,1,0
0.090328470,0,0,1,1
0.090328610,0,1,1,1
0.090328648,1,1,1,1
0.090328982,1,1,1,0
0.090329080,1,0,1,0
0.090329134,0,0,1,0
0.090329472,0,0,1,1
0.090329610,0,1,1,1
0.090329982,0,1,1,0
0.090330080,0,0,1,0
0.090330472,0,0,1,1
0.090330610,0,1,1,1
0.090330648,1,1,1,1
0.090330982,1,1,1,0
0.090331080,1,0,1,0
0.090331136,0,0,1,0
0.090331472,0,0,1,1
0.090331610,0,1,1,1
0.090331982,0,1,1,0
0.090332080,0,0,1,0
0.090332472,0,0,1,1
0.090332610,0,1,1,1
0.090332648,1,1,1,1
0.090332982,1,1,1,0
0.090333080,1,0,1,0
0.090333472,1,0,1,1
0.090333610,1,1,1,1
0.090333636,0,1,1,1
0.090333982,0,1,1,0
0.090334080,0,0,1,0
0.090335472,0,0,1,1
0.090335610,0,1,1,1
0.090335650,1,1,1,1
0.090335980,1,1,1,0
0.090336080,1,0,1,0
0.090336136,0,0,1,0
0.090337472,0,0,1,1
0.090337612,0,1,1,1
0.090337980,0,1,1,0
0.090338080,0,0,1,0
0.090339472,0,0,1,1
0.090339612,0,1,1,1
0.090340480,0,1,1,0
0.090340580,0,0,1,0
0.090340650,1,0,1,0
0.090341136,0,0,1,0
0.090342472,0,0,1,1
0.090342612,0,1,1,1
0.090342980,0,1,1,0
0.090343080,0,0,1,0
0.090345650,1,0,1,0
0.090346136,0,0,1,0
0.090347474,0,0,1,1
0.090347612,0,1,1,1
0.090347980,0,1,1,0
0.090348080,0,0,1,0
0.090348150,1,0,1,0
0.090348636,0,0,1,0
0.090350650,1,0,1,0
0.090351136,0,0,1,0
0.090351650,1,0,1,0
0.090352136,0,0,1,0
0.090352474,0,0,1,1
0.090352612,0,1,1,1
0.090352980,0,1,1,0
0.090353082,0,0,1,0
0.090353150,1,0,1,0
0.090354136,0,0,1,0
0.090354974,0,0,1,1
0.090355112,0,1,1,1
0.090355480,0,1,1,0
0.090355582,0,0,1,0
0.090355650,1,0,1,0
0.090357474,1,0,1,1
0.090357612,1,1,1,1
0.090357980,1,1,1,0
0.090358082,1,0,1,0
0.090358474,1,0,1,1
0.090358612,1,1,1,1
0.090358980,1,1,1,0
0.090359082,1,0,1,0
0.090359974,1,0,1,1
0.090360114,1,1,1,1
0.090360982,1,1,1,0
0.090361082,1,0,1,0
0.090362474,1,0,1,1
0.090362614,1,1,1,1
0.103216896,0,1,1,1
0.103217410,1,1,1,1
0.103217896,0,1,1,1
0.103218410,1,1,1,1
0.103218896,0,1,1,1
0.103219410,1,1,1,1
0.103219896,0,1,1,1
0.103220408,1,1,1,1
0.103220896,0,1,1,1
0.103221410,1,1,1,1
0.103221896,0,1,1,1
0.103222410,1,1,1,1
0.103222896,0,1,1,1
0.103223932,0,1,1,0
0.103224032,0,0,1,0
0.103224410,1,0,1,0
0.103224422,1,0,1,1
0.103224562,1,1,1,1
0.103224896,0,1,1,1
0.103224932,0,1,1,0
0.103225030,0,0,1,0
0.103225422,0,0,1,1
0.103225560,0,1,1,1
0.103225932,0,1,1,0
0.103226030,0,0,1,0
0.103226410,1,0,1,0
0.103226422,1,0,1,1
0.103226562,1,1,1,1
0.103226896,0,1,1,1
0.103226932,0,1,1,0
0.103227030,0,0,1,0
0.103227422,0,0,1,1
0.103227560,0,1,1,1
0.103227932,0,1,1,0
0.103228030,0,0,1,0
0.103228410,1,0,1,0
0.103228422,1,0,1,1
0.103228562,1,1,1,1
0.103228932,1,1,1,0
0.103229030,1,0,1,0
0.103229396,0,0,1,0
0.103229422,0,0,1,1
0.103229562,0,1,1,1
0.103229932,0,1,1,0
0.103230030,0,0,1,0
0.103231410,1,0,1,0
0.103231422,1,0,1,1
0.103231562,1,1,1,1
0.103231896,0,1,1,1
0.103231932,0,1,1,0
0.103232030,0,0,1,0
0.103233422,0,0,1,1
0.103233562,0,1,1,1
