// VilsSharpX CAN/UART trace – 2026-09-04 14:39:51
// Records: 3055
// Seq;Timestamp;Device;Op;Address;Value;Status;RspDelayUs;IfDelayUs;RawHex
0;2026-09-04 11:39:24.842;NICHIA;W;0x0000;0x00000008;Ok;0;65535;55110C00000819
1;2026-09-04 11:39:24.852;NICHIA;W;0x0000;0x00000008;Ok;0;12821;55110C00000819
2;2026-09-04 11:39:24.862;NICHIA;W;0x0000;0x00000008;Ok;0;7519;55110C00000819
3;2026-09-04 11:39:24.871;NICHIA;W;0x0000;0x00000008;Ok;0;8773;55110C00000819
4;2026-09-04 11:39:24.882;NICHIA;W;0x0000;0x00000008;Ok;0;9935;55110C00000819
5;2026-09-04 11:39:24.892;NICHIA;W;0x0000;0x00000008;Ok;0;9993;55110C00000819
6;2026-09-04 11:39:24.902;NICHIA;W;0x0000;0x00000008;Ok;0;10090;55110C00000819
7;2026-09-04 11:39:24.913;NICHIA;W;0x0000;0x00000008;Ok;0;10062;55110C00000819
8;2026-09-04 11:39:25.582;NICHIA;W;0x0005;0x00063F00;Ok;0;65535;55B11C0500063F0000100000A2
9;2026-09-04 11:39:25.582;NICHIA;R;0x0000;0x00072000;Ok;6;1161;55113500000720000310502001C100063F0000100008000000000000000000000000000048
10;2026-09-04 11:39:25.582;NICHIA;R;0x0050;0x00000040;Ok;5;1144;5511355000000040008000C000000040008000C000000040008000C000000040008000C0A7
11;2026-09-04 11:39:25.592;NICHIA;R;0x0000;0x00072000;Ok;5;7273;55113500000720000310502001C100063F0000100008000000000000000000000000000048
12;2026-09-04 11:39:25.592;NICHIA;R;0x0010;0x00000B2A;Ok;6;134;5511351000000B2A581DFA500001000000003F000000000000000000000000000008000006
13;2026-09-04 11:39:25.594;NICHIA;W;0x0000;0x00000010;Ok;0;9468;55110C0000103C
