// VilsSharpX CAN/UART trace – 2026-09-02 16:03:10
// Records: 3073
// Seq;Timestamp;Device;Op;Address;Value;Status;RspDelayUs;IfDelayUs;RawHex
0;2026-09-02 12:58:19.621;OSRAM;R;0x0000;0x000060F5;Ok;28;0;80A5BE0060F5FFFF00
1;2026-09-02 12:58:19.621;OSRAM;R;0x0000;0x00000000;Malformed;22;0;80A5BE10
2;2026-09-02 12:58:19.621;OSRAM;R;0x0020;0x00000000;Ok;28;0;80A5BE2000000000000C000EFFFFFFFF2904FFFF
3;2026-09-02 12:58:19.621;OSRAM;R;0x0000;0x00000000;Malformed;29;0;80A5B63098EF
4;2026-09-02 12:58:19.621;OSRAM;R;0x0000;0x00000000;Malformed;29;0;80A5BE8066C974
5;2026-09-02 12:58:19.621;OSRAM;R;0x00C0;0x00000006;Ok;28;0;80A5BEC0000600060006000600060006000600060006
6;2026-09-02 12:58:19.621;OSRAM;R;0x0000;0x00000000;Malformed;22;0;80A5B0F7
7;2026-09-02 12:58:19.632;OSRAM;R;0x0000;0x000060F5;Ok;28;0;80A5BE0060F5FFFF0003000003E8FFFF7100302000060000000000A50000FFFF00020078DBB9
8;2026-09-02 12:58:19.632;OSRAM;R;0x0010;0x000017BE;Ok;28;0;80A5BE1017BE0000
9;2026-09-02 12:58:19.632;OSRAM;R;0x0000;0x00000000;Malformed;22;0;80A5BE20
10;2026-09-02 12:58:19.632;OSRAM;R;0x0030;0x000098EF;Ok;28;0;80A5B63098EF96FE97B3995F
11;2026-09-02 12:58:19.632;OSRAM;R;0x0000;0x00000000;Malformed;29;0;80A5BE9014CC
12;2026-09-02 12:58:19.632;OSRAM;R;0x00D0;0x00000006;Ok;31;0;80A5BED000060006000600060006
13;2026-09-02 12:58:19.632;OSRAM;R;0x00F7;0x0000011F;Ok;29;0;80A5B0F7011F011F
14;2026-09-02 12:58:19.641;OSRAM;R;0x0000;0x00000000;Malformed;29;0;80A5BE0060
15;2026-09-02 12:58:19.641;OSRAM;R;0x0010;0x000017BE;Ok;29;0;80A5BE1017BE00000001000200000073
16;2026-09-02 12:58:19.641;OSRAM;R;0x0020;0x00000000;Ok;29;0;80A5BE2000000000000C000E
17;2026-09-02 12:58:19.641;OSRAM;R;0x0030;0x000098EF;Ok;29;0;80A5B63098EF96FE97B3995F98D8994F
18;2026-09-02 12:58:19.641;OSRAM;R;0x00A0;0x00006E90;Ok;28;0;80A5BEA06E905A7950C800000000000000000000
19;2026-09-02 12:58:19.641;OSRAM;R;0x00E0;0x00000006;Ok;28;0;80A5BEE0000600060006000000000000
20;2026-09-02 12:58:19.641;OSRAM;R;0x0000;0x00000000;Malformed;29;0;80A5B0F7011F
21;2026-09-02 12:58:19.652;OSRAM;R;0x0000;0x000060F5;Ok;28;0;80A5BE0060F5FFFF
22;2026-09-02 12:58:19.652;OSRAM;R;0x0010;0x000017BF;Ok;28;0;80A5BE1017BF00000001000200000073008C
23;2026-09-02 12:58:19.652;OSRAM;R;0x0020;0x00000000;Ok;28;0;80A5BE2000000000000C000EFFFF
24;2026-09-02 12:58:19.652;OSRAM;R;0x0030;0x000098EF;Ok;29;0;80A5B63098EF96FE97B3995F
25;2026-09-02 12:58:19.652;OSRAM;R;0x0070;0x000024CA;Ok;28;0;80A5BE7024CA28972874
26;2026-09-02 12:58:19.652;OSRAM;R;0x00B0;0x00000006;Ok;28;0;80A5BEB000060006000600060006000600060006
27;2026-09-02 12:58:19.654;OSRAM;R;0x00F7;0x0000011F;Ok;28;0;80A5B0F7011F011F0000000080A30000FFFF2402ABCD81B6
28;2026-09-02 12:58:19.662;OSRAM;R;0x0000;0x000060F5;Ok;29;0;80A5BE0060F5FFFF0003000003E8FFFF
29;2026-09-02 12:58:19.662;OSRAM;R;0x0010;0x000017BF;Ok;28;0;80A5BE1017BF000000010002
30;2026-09-02 12:58:19.662;OSRAM;R;0x0020;0x00000000;Ok;28;0;80A5BE2000000000000C000EFFFFFFFF
31;2026-09-02 12:58:19.662;OSRAM;R;0x0030;0x000098EF;Ok;29;0;80A5B63098EF96FE97B3995F98D8994F9720
32;2026-09-02 12:58:19.662;OSRAM;R;0x0000;0x00000000;Malformed;28;0;80A5BE8066C9
33;2026-09-02 12:58:19.662;OSRAM;R;0x0000;0x00000000;Malformed;28;0;80A5BEC00006
34;2026-09-02 12:58:19.662;OSRAM;R;0x0000;0x00000000;Malformed;28;0;80A5B0F7011F
35;2026-09-02 12:58:19.672;OSRAM;R;0x0000;0x000060F5;Ok;28;0;80A5BE0060F5FFFF0003000003E8FFFF7100302000060000000000A50000FFFF00020078
36;2026-09-02 12:58:19.672;OSRAM;R;0x0010;0x000017C0;Ok;28;0;80A5BE1017C000000001000200000073008C004C007F01000100FFFF5004
37;2026-09-02 12:58:19.672;OSRAM;R;0x0020;0x00000000;Ok;28;0;80A5BE2000000000000C000EFFFFFFFF2904FFFFFFFF
38;2026-09-02 12:58:19.672;OSRAM;R;0x0030;0x000098EF;Ok;29;0;80A5B63098EF96FE97B3995F98D8994F9720974C9992997C002F
39;2026-09-02 12:58:19.674;OSRAM;R;0x0090;0x000014CC;Ok;28;0;80A5BE9014CC28A21E7256D07081605D10CC28A31C7254C370B560724AC028A41A6688C2262A
