// VilsSharpX CAN/UART trace – 2026-09-03 09:36:23
// Records: 2075
// Seq;Timestamp;Device;Op;Address;Value;Status;RspDelayUs;IfDelayUs;RawHex
749;2026-09-03 06:35:02.529;OSRAM;R;0x0020;0x00000000;Ok;6;392;80A5BE2000000000000C000EFFFFFFFF2904FFFFFFFFFFFFC44407F0F6000000F0D100645C93
750;2026-09-03 06:35:02.529;OSRAM;R;0x0030;0x00009ED6;Ok;6;395;80A5B6309ED69EC09ED69ED69ED69EBA9EBA9EBA9EBA9EBA002E002C4654
751;2026-09-03 06:35:02.529;OSRAM;R;0x0070;0x00000000;Ok;6;399;80A5BE700000000000000000000000000000000000000000000000000000000000000000B676
752;2026-09-03 06:35:02.532;OSRAM;R;0x00F7;0x00000100;Ok;6;1033;80A5B0F7010001000000000080A30000FFFF2402ABCD7B51
753;2026-09-03 06:35:02.533;OSRAM;W;0x0006;0x00003100;Ok;0;6289;80A52006310046DE
754;2026-09-03 06:35:02.533;OSRAM;R;0x0000;0x000060F5;Ok;6;308;80A5BE0060F5FFFF0003000003E8FFFF7100302000060000000000A50000FFFF00000078B5D9
755;2026-09-03 06:35:02.542;OSRAM;R;0x0010;0x00001F98;Ok;6;397;80A5BE101F9800000000000200000073008C004C007F01000100FFFF5004FFFFA5000183D640
756;2026-09-03 06:35:02.542;OSRAM;R;0x0020;0x00000000;Ok;6;395;80A5BE2000000000000C000EFFFFFFFF2904FFFFFFFFFFFFC44407F0F6000000F0D100645C93
757;2026-09-03 06:35:02.542;OSRAM;R;0x0030;0x00009ED6;Ok;6;395;80A5B6309ED69EC09ED69ED69ED69EBA9EBA9EBA9EBA9EBA002E002C4654
758;2026-09-03 06:35:02.542;OSRAM;R;0x0080;0x00000000;Ok;6;400;80A5BE800000000000000000000000000000000000000000000000000000000000000000F62D
759;2026-09-03 06:35:02.542;OSRAM;R;0x00C0;0x00000000;Ok;6;394;80A5BEC00000000000000000000000000000000000000000000000000000000000000000952C
760;2026-09-03 06:35:02.542;OSRAM;R;0x00F7;0x00000100;Ok;6;396;80A5B0F7010001000000000080A30000FFFF2402ABCD7B51
761;2026-09-03 06:35:02.548;OSRAM;W;0x0006;0x00003100;Ok;0;6311;80A52006310046DE
762;2026-09-03 06:35:02.548;OSRAM;R;0x0000;0x000060F5;Ok;6;306;80A5BE0060F5FFFF0003000003E8FFFF7100302000060000000000A50000FFFF00000078B5D9
763;2026-09-03 06:35:02.548;OSRAM;R;0x0010;0x00001F99;Ok;6;396;80A5BE101F9900000000000200000073008C004C007F01000100FFFF5004FFFFA50001835869
764;2026-09-03 06:35:02.548;OSRAM;R;0x0020;0x00000000;Ok;6;396;80A5BE2000000000000C000EFFFFFFFF2904FFFFFFFFFFFFC44407F0F6000000F0D100645C93
765;2026-09-03 06:35:02.548;OSRAM;R;0x0030;0x00009ED6;Ok;6;395;80A5B6309ED69EC09ED69ED69ED69EBA9EBA9EBA9EBA9EBA002E002C4654
766;2026-09-03 06:35:02.553;OSRAM;R;0x0090;0x00000000;Ok;6;400;80A5BE900000000000000000000000000000000000000000000000000000000000000000AAE5
767;2026-09-03 06:35:02.553;OSRAM;R;0x00D0;0x00000000;Ok;6;395;80A5BED00000000000000000000000000000000000000000000000000000000000000000C9E4
768;2026-09-03 06:35:02.553;OSRAM;R;0x00F7;0x00000100;Ok;8;395;80A5B0F7010001000000000080A30000FFFF2402ABCD7B51
769;2026-09-03 06:35:02.554;OSRAM;W;0x0006;0x00003100;Ok;0;6259;80A52006310046DE
770;2026-09-03 06:35:02.562;OSRAM;R;0x0000;0x000060F5;Ok;6;305;80A5BE0060F5FFFF0003000003E8FFFF7100302000060000000000A50000FFFF00000078B5D9
771;2026-09-03 06:35:02.562;OSRAM;R;0x0010;0x00001F99;Ok;6;396;80A5BE101F9900000000000200000073008C004C007F01000100FFFF5004FFFFA50001835869
772;2026-09-03 06:35:02.562;OSRAM;R;0x0020;0x00000000;Ok;6;398;80A5BE2000000000000C000EFFFFFFFF2904FFFFFFFFFFFFC44407F0F6000000F0D100645C93
773;2026-09-03 06:35:02.562;OSRAM;R;0x00A0;0x00000000;Ok;6;990;80A5BEA000000000000000000000000000000000000000000000000000000000000000004FBD
774;2026-09-03 06:35:02.562;OSRAM;R;0x00E0;0x00000000;Ok;6;394;80A5BEE000000000000000000000000000000000000000000000000000000000000000002CBC
775;2026-09-03 06:35:02.568;OSRAM;W;0x0006;0x00003100;Ok;0;6844;80A52006310046DE
776;2026-09-03 06:35:02.568;OSRAM;R;0x0000;0x000060F5;Ok;6;308;80A5BE0060F5FFFF0003000003E8FFFF7100302000060000000000A50000FFFF00000078B5D9
777;2026-09-03 06:35:02.568;OSRAM;R;0x0010;0x00001F9A;Ok;6;397;80A5BE101F9A00000000000200000073008C004C007F01000100FFFF5004FFFFA5000183DA33
778;2026-09-03 06:35:02.572;OSRAM;R;0x0020;0x00000000;Ok;6;396;80A5BE2000000000000C000EFFFFFFFF2904FFFFFFFFFFFFC44407F0F6000000F0D100645C93
779;2026-09-03 06:35:02.572;OSRAM;R;0x0030;0x00009ED6;Ok;6;393;80A5B6309ED69EC09ED69ED69ED69EBA9EBA9EBA9EBA9EBA002E002C4654
780;2026-09-03 06:35:02.572;OSRAM;R;0x0070;0x00000000;Ok;6;400;80A5BE700000000000000000000000000000000000000000000000000000000000000000B676
781;2026-09-03 06:35:02.572;OSRAM;R;0x00B0;0x00000000;Ok;6;393;80A5BEB000000000000000000000000000000000000000000000000000000000000000001375
782;2026-09-03 06:35:02.572;OSRAM;R;0x00F7;0x00000100;Ok;6;393;80A5B0F7010001000000000080A30000FFFF2402ABCD7B51
783;2026-09-03 06:35:02.581;OSRAM;W;0x0006;0x00003100;Ok;0;6289;80A52006310046DE
784;2026-09-03 06:35:02.582;OSRAM;R;0x0000;0x000060F5;Ok;6;306;80A5BE0060F5FFFF0003000003E8FFFF7100302000060000000000A50000FFFF00000078B5D9
785;2026-09-03 06:35:02.582;OSRAM;R;0x0010;0x00001F9A;Ok;6;396;80A5BE101F9A00000000000200000073008C004C007F01000100FFFF5004FFFFA5000183DA33
786;2026-09-03 06:35:02.582;OSRAM;R;0x0020;0x00000000;Ok;6;396;80A5BE2000000000000C000EFFFFFFFF2904FFFFFFFFFFFFC44407F0F6000000F0D100645C93
787;2026-09-03 06:35:02.582;OSRAM;R;0x0030;0x00009ED6;Ok;6;396;80A5B6309ED69EC09ED69ED69ED69EBA9EBA9EBA9EBA9EBA002E002C4654
788;2026-09-03 06:35:02.582;OSRAM;R;0x0080;0x00000000;Ok;6;399;80A5BE800000000000000000000000000000000000000000000000000000000000000000F62D
789;2026-09-03 06:35:02.582;OSRAM;R;0x00C0;0x00000000;Ok;6;396;80A5BEC00000000000000000000000000000000000000000000000000000000000000000952C
790;2026-09-03 06:35:02.582;OSRAM;R;0x00F7;0x00000100;Ok;6;394;80A5B0F7010001000000000080A30000FFFF2402ABCD7B51
791;2026-09-03 06:35:02.588;OSRAM;W;0x0006;0x00003100;Ok;0;6311;80A52006310046DE
792;2026-09-03 06:35:02.589;OSRAM;R;0x0000;0x000060F5;Ok;7;306;80A5BE0060F5FFFF0003000003E8FFFF7100302000060000000000A50000FFFF00000078B5D9
793;2026-09-03 06:35:02.589;OSRAM;R;0x0010;0x00001F9B;Ok;8;397;80A5BE101F9B00000000000200000073008C004C007F01000100FFFF5004FFFFA5000183541A
794;2026-09-03 06:35:02.593;OSRAM;R;0x0020;0x00000000;Ok;6;397;80A5BE2000000000000C000EFFFFFFFF2904FFFFFFFFFFFFC44407F0F6000000F0D100645C93
795;2026-09-03 06:35:02.593;OSRAM;R;0x0030;0x00009ED6;Ok;4;395;80A5B6309ED69EC09ED69ED69ED69EBA9EBA9EBA9EBA9EBA002E002C4654
796;2026-09-03 06:35:02.593;OSRAM;R;0x0090;0x00000000;Ok;6;400;80A5BE900000000000000000000000000000000000000000000000000000000000000000AAE5
797;2026-09-03 06:35:02.593;OSRAM;R;0x00D0;0x00000000;Ok;6;395;80A5BED00000000000000000000000000000000000000000000000000000000000000000C9E4
798;2026-09-03 06:35:02.593;OSRAM;R;0x00F7;0x00000100;Ok;6;394;80A5B0F7010001000000000080A30000FFFF2402ABCD7B51
799;2026-09-03 06:35:02.601;OSRAM;W;0x0006;0x00003100;Ok;0;6257;80A52006310046DE
800;2026-09-03 06:35:02.601;OSRAM;R;0x0000;0x000060F5;Ok;6;307;80A5BE0060F5FFFF0003000003E8FFFF7100302000060000000000A50000FFFF00000078B5D9
801;2026-09-03 06:35:02.601;OSRAM;R;0x0010;0x00001F9B;Ok;6;396;80A5BE101F9B00000000000200000073008C004C007F01000100FFFF5004FFFFA5000183541A
802;2026-09-03 06:35:02.601;OSRAM;R;0x0020;0x00000000;Ok;6;398;80A5BE2000000000000C000EFFFFFFFF2904FFFFFFFFFFFFC44407F0F6000000F0D100645C93
803;2026-09-03 06:35:02.601;OSRAM;R;0x0030;0x00009ED6;Ok;6;396;80A5B6309ED69EC09ED69ED69ED69EBA9EBA9EBA9EBA9EBA002E002C4654
804;2026-09-03 06:35:02.601;OSRAM;R;0x00A0;0x00000000;Ok;6;399;80A5BEA000000000000000000000000000000000000000000000000000000000000000004FBD
805;2026-09-03 06:35:02.601;OSRAM;R;0x00E0;0x00000000;Ok;6;394;80A5BEE000000000000000000000000000000000000000000000000000000000000000002CBC
806;2026-09-03 06:35:02.609;OSRAM;W;0x0006;0x00003100;Ok;0;6845;80A52006310046DE
807;2026-09-03 06:35:02.609;OSRAM;R;0x0000;0x000060F5;Ok;6;307;80A5BE0060F5FFFF0003000003E8FFFF7100302000060000000000A50000FFFF00000078B5D9
808;2026-09-03 06:35:02.609;OSRAM;R;0x0010;0x00001F9C;Ok;6;397;80A5BE101F9C00000000000200000073008C004C007F01000100FFFF5004FFFFA5000183CEA6
809;2026-09-03 06:35:02.612;OSRAM;R;0x0020;0x00000000;Ok;8;392;80A5BE2000000000000C000EFFFFFFFF2904FFFFFFFFFFFFC44407F0F6000000F0D100645C93
810;2026-09-03 06:35:02.612;OSRAM;R;0x0030;0x00009ED6;Ok;6;394;80A5B6309ED69EC09ED69ED69ED69EBA9EBA9EBA9EBA9EBA002E002C4654
811;2026-09-03 06:35:02.612;OSRAM;R;0x0070;0x00000000;Ok;6;400;80A5BE700000000000000000000000000000000000000000000000000000000000000000B676
812;2026-09-03 06:35:02.612;OSRAM;R;0x00B0;0x00000000;Ok;6;394;80A5BEB000000000000000000000000000000000000000000000000000000000000000001375
813;2026-09-03 06:35:02.612;OSRAM;R;0x00F7;0x00000100;Ok;6;394;80A5B0F7010001000000000080A30000FFFF2402ABCD7B51
814;2026-09-03 06:35:02.621;OSRAM;W;0x0006;0x00003100;Ok;0;6289;80A52006310046DE
815;2026-09-03 06:35:02.621;OSRAM;R;0x0000;0x000060F5;Ok;6;306;80A5BE0060F5FFFF0003000003E8FFFF7100302000060000000000A50000FFFF00000078B5D9
816;2026-09-03 06:35:02.621;OSRAM;R;0x0010;0x00001F9C;Ok;6;397;80A5BE101F9C00000000000200000073008C004C007F01000100FFFF5004FFFFA5000183CEA6
817;2026-09-03 06:35:02.621;OSRAM;R;0x0020;0x00000000;Ok;6;396;80A5BE2000000000000C000EFFFFFFFF2904FFFFFFFFFFFFC44407F0F6000000F0D100645C93
818;2026-09-03 06:35:02.621;OSRAM;R;0x0030;0x00009ED6;Ok;6;395;80A5B6309ED69EC09ED69ED69ED69EBA9EBA9EBA9EBA9EBA002E002C4654
819;2026-09-03 06:35:02.621;OSRAM;R;0x0080;0x00000000;Ok;6;399;80A5BE800000000000000000000000000000000000000000000000000000000000000000F62D
820;2026-09-03 06:35:02.621;OSRAM;R;0x00C0;0x00000000;Ok;8;394;80A5BEC00000000000000000000000000000000000000000000000000000000000000000952C
821;2026-09-03 06:35:02.621;OSRAM;R;0x00F7;0x00000100;Ok;6;394;80A5B0F7010001000000000080A30000FFFF2402ABCD7B51
822;2026-09-03 06:35:02.629;OSRAM;W;0x0006;0x00003100;Ok;0;6310;80A52006310046DE
823;2026-09-03 06:35:02.629;OSRAM;R;0x0000;0x000060F5;Ok;6;306;80A5BE0060F5FFFF0003000003E8FFFF7100302000060000000000A50000FFFF00000078B5D9
824;2026-09-03 06:35:02.632;OSRAM;R;0x0010;0x00001F9D;Ok;6;396;80A5BE101F9D00000000000200000073008C004C007F01000100FFFF5004FFFFA5000183408F
825;2026-09-03 06:35:02.632;OSRAM;R;0x0020;0x00000000;Ok;6;395;80A5BE2000000000000C000EFFFFFFFF2904FFFFFFFFFFFFC44407F0F6000000F0D100645C93
826;2026-09-03 06:35:02.632;OSRAM;R;0x0030;0x00009ED6;Ok;6;396;80A5B6309ED69EC09ED69ED69ED69EBA9EBA9EBA9EBA9EBA002E002C4654
827;2026-09-03 06:35:02.632;OSRAM;R;0x0090;0x00000000;Ok;6;400;80A5BE900000000000000000000000000000000000000000000000000000000000000000AAE5
828;2026-09-03 06:35:02.632;OSRAM;R;0x00D0;0x00000000;Ok;6;396;80A5BED00000000000000000000000000000000000000000000000000000000000000000C9E4
829;2026-09-03 06:35:02.632;OSRAM;R;0x00F7;0x00000100;Ok;6;394;80A5B0F7010001000000000080A30000FFFF2402ABCD7B51
830;2026-09-03 06:35:02.641;OSRAM;W;0x0006;0x00003100;Ok;0;6258;80A52006310046DE
831;2026-09-03 06:35:02.641;OSRAM;R;0x0000;0x000060F5;Ok;6;305;80A5BE0060F5FFFF0003000003E8FFFF7100302000060000000000A50000FFFF00000078B5D9
832;2026-09-03 06:35:02.641;OSRAM;R;0x0010;0x00001F9D;Ok;6;395;80A5BE101F9D00000000000200000073008C004C007F01000100FFFF5004FFFFA5000183408F
833;2026-09-03 06:35:02.641;OSRAM;R;0x0030;0x00009ED6;Ok;6;1040;80A5B6309ED69EC09ED69ED69ED69EBA9EBA9EBA9EBA9EBA002E002C4654
834;2026-09-03 06:35:02.641;OSRAM;R;0x00A0;0x00000000;Ok;6;397;80A5BEA000000000000000000000000000000000000000000000000000000000000000004FBD
835;2026-09-03 06:35:02.643;OSRAM;R;0x00E0;0x00000000;Ok;6;394;80A5BEE000000000000000000000000000000000000000000000000000000000000000002CBC
836;2026-09-03 06:35:02.649;OSRAM;W;0x0006;0x00003100;Ok;0;6844;80A52006310046DE
837;2026-09-03 06:35:02.649;OSRAM;R;0x0000;0x000060F5;Ok;6;306;80A5BE0060F5FFFF0003000003E8FFFF7100302000060000000000A50000FFFF00000078B5D9
838;2026-09-03 06:35:02.653;OSRAM;R;0x0020;0x00000000;Ok;6;1037;80A5BE2000000000000C000EFFFFFFFF2904FFFFFFFFFFFFC44407F0F6000000F0D100645C93
839;2026-09-03 06:35:02.653;OSRAM;R;0x0030;0x00009ED6;Ok;6;396;80A5B6309ED69EC09ED69ED69ED69EBA9EBA9EBA9EBA9EBA002E002C4654
840;2026-09-03 06:35:02.653;OSRAM;R;0x0070;0x00000000;Ok;6;400;80A5BE700000000000000000000000000000000000000000000000000000000000000000B676
841;2026-09-03 06:35:02.653;OSRAM;R;0x00B0;0x00000000;Ok;6;395;80A5BEB000000000000000000000000000000000000000000000000000000000000000001375
842;2026-09-03 06:35:02.662;OSRAM;R;0x00F7;0x00000100;Ok;6;394;80A5B0F7010001000000000080A30000FFFF2402ABCD7B51
843;2026-09-03 06:35:02.662;OSRAM;W;0x0006;0x00003100;Ok;0;6290;80A52006310046DE
