// VilsSharpX CAN/UART trace – 2026-09-02 16:29:18
// Records: 9912
// Seq;Timestamp;Device;Op;Address;Value;Status;RspDelayUs;IfDelayUs;RawHex
5;2026-09-02 13:03:15.992;OSRAM;R;0x00A0;0x00000000;Ok;6;311;80A5BEA000000000000000000000000000000000000000000000000000000000000000004FBD
6;2026-09-02 13:03:15.992;OSRAM;R;0x00E0;0x00000000;Ok;6;314;80A5BEE000000000000000000000000000000000000000000000000000000000000000002CBC
7;2026-09-02 13:03:15.992;OSRAM;R;0x00F7;0x00000100;Ok;7;312;80A5B0F7010001000000000080A30000FFFF2402ABCD7B51
8;2026-09-02 13:03:15.992;OSRAM;W;0x0006;0x00003100;Ok;0;6095;80A52006310046DE
9;2026-09-02 13:03:15.992;OSRAM;R;0x0000;0x000060F5;Ok;6;306;80A5BE0060F5FFFF0003000003E8FFFF3100302000060000000000A50000FFFF0000007808B4
10;2026-09-02 13:03:15.992;OSRAM;R;0x0010;0x000005BB;Ok;7;313;80A5BE1005BB00000000000200000073008C004C007F01000100FFFF5004FFFFA50001830F11
11;2026-09-02 13:03:15.993;OSRAM;R;0x0020;0x00000000;Ok;7;313;80A5BE2000000000000C000EFFFFFFFF2904FFFFFFFFFFFFC44407F0F6000000F0D100645C93
12;2026-09-02 13:03:15.993;OSRAM;R;0x0030;0x0000A6AE;Ok;7;313;80A5B630A6AEA681A681A6AEA681A682A698A66BA6AEA6AE002E002D0EAE
13;2026-09-02 13:03:15.993;OSRAM;R;0x0070;0x00000000;Ok;6;312;80A5BE700000000000000000000000000000000000000000000000000000000000000000B676
14;2026-09-02 13:03:15.996;OSRAM;R;0x00B0;0x00000000;Ok;7;312;80A5BEB000000000000000000000000000000000000000000000000000000000000000001375
15;2026-09-02 13:03:16.001;OSRAM;R;0x00F7;0x00000100;Ok;7;312;80A5B0F7010001000000000080A30000FFFF2402ABCD7B51
16;2026-09-02 13:03:16.001;OSRAM;W;0x0006;0x00003100;Ok;0;6186;80A52006310046DE
17;2026-09-02 13:03:16.001;OSRAM;R;0x0000;0x000060F5;Ok;7;304;80A5BE0060F5FFFF0003000003E8FFFF3100302000060000000000A50000FFFF0000007808B4
18;2026-09-02 13:03:16.001;OSRAM;R;0x0010;0x000005BB;Ok;7;314;80A5BE1005BB00000000000200000073008C004C007F01000100FFFF5004FFFFA50001830F11
19;2026-09-02 13:03:16.003;OSRAM;R;0x0020;0x00000000;Ok;7;313;80A5BE2000000000000C000EFFFFFFFF2904FFFFFFFFFFFFC44407F0F6000000F0D100645C93
20;2026-09-02 13:03:16.003;OSRAM;R;0x0030;0x0000A6AE;Ok;7;313;80A5B630A6AEA681A681A6AEA681A682A698A66BA6AEA6AE002E002D0EAE
21;2026-09-02 13:03:16.003;OSRAM;R;0x0080;0x00000000;Ok;7;320;80A5BE800000000000000000000000000000000000000000000000000000000000000000F62D
22;2026-09-02 13:03:16.012;OSRAM;R;0x00C0;0x00000000;Ok;7;313;80A5BEC00000000000000000000000000000000000000000000000000000000000000000952C
23;2026-09-02 13:03:16.012;OSRAM;R;0x00F7;0x00000100;Ok;7;312;80A5B0F7010001000000000080A30000FFFF2402ABCD7B51
24;2026-09-02 13:03:16.012;OSRAM;W;0x0006;0x00003100;Ok;0;6179;80A52006310046DE
25;2026-09-02 13:03:16.012;OSRAM;R;0x0000;0x000060F5;Ok;7;306;80A5BE0060F5FFFF0003000003E8FFFF3100302000060000000000A50000FFFF0000007808B4
26;2026-09-02 13:03:16.012;OSRAM;R;0x0010;0x000005BC;Ok;7;314;80A5BE1005BC00000000000200000073008C004C007F01000100FFFF5004FFFFA500018395AD
27;2026-09-02 13:03:16.012;OSRAM;R;0x0020;0x00000000;Ok;8;313;80A5BE2000000000000C000EFFFFFFFF2904FFFFFFFFFFFFC44407F0F6000000F0D100645C93
28;2026-09-02 13:03:16.015;OSRAM;R;0x0030;0x0000A6AE;Ok;7;313;80A5B630A6AEA681A681A6AEA681A682A698A66BA6AEA6AE002E002D0EAE
29;2026-09-02 13:03:16.015;OSRAM;R;0x0090;0x00000000;Ok;6;311;80A5BE900000000000000000000000000000000000000000000000000000000000000000AAE5
30;2026-09-02 13:03:16.022;OSRAM;R;0x00D0;0x00000000;Ok;7;312;80A5BED00000000000000000000000000000000000000000000000000000000000000000C9E4
31;2026-09-02 13:03:16.022;OSRAM;R;0x00F7;0x00000100;Ok;7;313;80A5B0F7010001000000000080A30000FFFF2402ABCD7B51
32;2026-09-02 13:03:16.022;OSRAM;W;0x0006;0x00003100;Ok;0;6188;80A52006310046DE
