// VilsSharpX CAN/UART trace – 2026-08-28 09:58:14
// Records: 7569
// Seq;Timestamp;Device;Op;Address;Value;Status;RspDelayUs;IfDelayUs;RawHex
0;2026-08-28 06:57:29.811;OSRAM;W;0x0001;0x00000001;Ok;0;65535;80A520010001E5CB
1;2026-08-28 06:57:29.819;OSRAM;W;0x0001;0x00000001;Ok;0;12706;80A520010001E5CB
2;2026-08-28 06:57:29.829;OSRAM;W;0x0001;0x00000001;Ok;0;7505;80A520010001E5CB
3;2026-08-28 06:57:29.840;OSRAM;W;0x0001;0x00000001;Ok;0;8879;80A520010001E5CB
4;2026-08-28 06:57:29.849;OSRAM;W;0x0001;0x00000001;Ok;0;9997;80A520010001E5CB
5;2026-08-28 06:57:29.860;OSRAM;W;0x0001;0x00000001;Ok;0;9973;80A520010001E5CB
6;2026-08-28 06:57:29.869;OSRAM;W;0x0001;0x00000001;Ok;0;10060;80A520010001E5CB
7;2026-08-28 06:57:30.540;OSRAM;W;0x0000;0x000060F5;Ok;0;65535;80A5200060F5764A
8;2026-08-28 06:57:30.540;OSRAM;W;0x00FC;0x0000CCFA;Ok;0;1138;80A520FCCCFA4985
9;2026-08-28 06:57:30.540;OSRAM;W;0x00FB;0x000000A2;Ok;0;1136;80A520FB00A244D1
10;2026-08-28 06:57:30.540;OSRAM;R;0x0000;0x000060F5;Ok;6;1137;80A5BE0060F5FFFF0002000003E8FFFF3510302000000000000000A50000FFFF0000003F150B
11;2026-08-28 06:57:30.540;OSRAM;R;0x00FB;0x000080A3;Ok;6;1143;80A5A0FB80A39250
12;2026-08-28 06:57:30.550;OSRAM;W;0x0006;0x00003510;Ok;0;5034;80A520063510982B
13;2026-08-28 06:57:30.550;OSRAM;R;0x0000;0x000060F5;Ok;6;1137;80A5BE0060F5FFFF0002000003E8FFFF3100302000000000000000A50000FFFF0000003FF39A
14;2026-08-28 06:57:30.560;OSRAM;W;0x0006;0x00003100;Ok;0;8555;80A52006310046DE
15;2026-08-28 06:57:30.560;OSRAM;W;0x0001;0x00000006;Ok;0;303;80A520010006952C
16;2026-08-28 06:57:30.560;OSRAM;R;0x0000;0x000060F5;Ok;6;305;80A5BE0060F5FFFF0006000003E8FFFF3100302100000000000000A50000FFFF0000003FB6E0
17;2026-08-28 06:57:30.560;OSRAM;R;0x002A;0x0000C444;Ok;6;314;80A5A22AC44407F0C5CB
18;2026-08-28 06:57:30.560;OSRAM;R;0x0043;0x0000C444;Ok;6;312;80A5A043C44489CF
19;2026-08-28 06:57:30.560;OSRAM;R;0x0047;0x000007F0;Ok;6;312;80A5A04707F0F157
20;2026-08-28 06:57:30.570;OSRAM;W;0x0006;0x00003100;Ok;0;7964;80A52006310046DE
21;2026-08-28 06:57:30.570;OSRAM;W;0x0008;0x00000004;Ok;0;304;80A5220800046406E884
22;2026-08-28 06:57:30.570;OSRAM;W;0x0007;0x00000100;Ok;0;304;80A520070100747B
23;2026-08-28 06:57:30.570;OSRAM;R;0x0100;0x00002300;Ok;6;305;80A5A5002300395CFF96A6FF
24;2026-08-28 06:57:30.570;OSRAM;W;0x0008;0x00000005;Ok;0;313;80A522080005000258DE
25;2026-08-28 06:57:30.570;OSRAM;W;0x0007;0x00000100;Ok;0;305;80A520070100747B
26;2026-08-28 06:57:30.570;OSRAM;R;0x0100;0x00002110;Ok;6;304;80A5A10021104EB0
27;2026-08-28 06:57:30.570;OSRAM;W;0x0008;0x00000006;Ok;0;311;80A522080006000021CC
28;2026-08-28 06:57:30.570;OSRAM;W;0x0007;0x00000100;Ok;0;304;80A520070100747B
29;2026-08-28 06:57:30.570;OSRAM;R;0x0100;0x00009EE0;Ok;6;304;80A5BF009EE0018E414200010000000100000001000000000000000000000000000000003581
30;2026-08-28 06:57:30.570;OSRAM;R;0x0110;0x00000000;Ok;6;312;80A5BF1000006900FF83FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF8795
31;2026-08-28 06:57:30.570;OSRAM;R;0x0120;0x0000FFFF;Ok;6;311;80A5BF20FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF912E
32;2026-08-28 06:57:30.570;OSRAM;R;0x0000;0x000060F5;Ok;6;311;80A5BE0060F5FFFF0006000003E8FFFF3100302100060000000000A50000FFFF0000003F608B
33;2026-08-28 06:57:30.570;OSRAM;R;0x002A;0x0000C444;Ok;6;312;80A5A22AC44407F0C5CB
34;2026-08-28 06:57:30.570;OSRAM;R;0x0043;0x0000C444;Ok;6;311;80A5A043C44489CF
35;2026-08-28 06:57:30.571;OSRAM;R;0x0047;0x000007F0;Ok;6;311;80A5A04707F0F157
36;2026-08-28 06:57:30.580;OSRAM;W;0x0006;0x00003100;Ok;0;3819;80A52006310046DE
37;2026-08-28 06:57:30.580;OSRAM;R;0x0000;0x000060F5;Ok;6;303;80A5BE0060F5FFFF0006000003E8FFFF3100302100060000000000A50000FFFF0000003F608B
